class,class_macro_1,class_macro_2,class_macro_3
L6,Primitive meteorites,Chondrites,Ordinary Chondrite
H5,Primitive meteorites,Chondrites,Ordinary Chondrite
L5,Primitive meteorites,Chondrites,Ordinary Chondrite
H6,Primitive meteorites,Chondrites,Ordinary Chondrite
H4,Primitive meteorites,Chondrites,Ordinary Chondrite
LL5,Primitive meteorites,Chondrites,Ordinary Chondrite
LL6,Primitive meteorites,Chondrites,Ordinary Chondrite
L4,Primitive meteorites,Chondrites,Ordinary Chondrite
H4/5,Primitive meteorites,Chondrites,Ordinary Chondrite
CM2,Primitive meteorites,Chondrites,Carbonaceous Chondrite
H3,Primitive meteorites,Chondrites,Ordinary Chondrite
L3,Primitive meteorites,Chondrites,Ordinary Chondrite
CO3,Primitive meteorites,Chondrites,Carbonaceous Chondrite
Ureilite,Differentiated meteorites,Achondrites,Asteroidal Achondrites
"Iron, IIIAB",Differentiated meteorites,Iron meteorites,Magmatic Iron Meteorite Groups
LL4,Primitive meteorites,Chondrites,Ordinary Chondrite
CV3,Primitive meteorites,Chondrites,Carbonaceous Chondrite
Diogenite,Differentiated meteorites,Achondrites,Asteroidal Achondrites
Howardite,Differentiated meteorites,Achondrites,Asteroidal Achondrites
LL,Primitive meteorites,Chondrites,Ordinary Chondrite
Eucrite,Differentiated meteorites,Achondrites,Asteroidal Achondrites
Eucrite-pmict,Differentiated meteorites,Achondrites,Asteroidal Achondrites
E3,Primitive meteorites,Chondrites,Enstatite Chondrite
H5/6,Primitive meteorites,Chondrites,Ordinary Chondrite
Mesosiderite,Differentiated meteorites,Stony-iron meteorites,Mesosiderite Group
CR2,Primitive meteorites,Chondrites,Carbonaceous Chondrite
LL3,Primitive meteorites,Chondrites,Ordinary Chondrite
EH3,Primitive meteorites,Chondrites,Enstatite Chondrite
"Iron, IIAB",Differentiated meteorites,Iron meteorites,Magmatic Iron Meteorite Groups
"Iron, ungrouped",Unknown,Unknown,Unknown
H~5,Primitive meteorites,Chondrites,Ordinary Chondrite
L5/6,Primitive meteorites,Chondrites,Ordinary Chondrite
Eucrite-mmict,Differentiated meteorites,Achondrites,Asteroidal Achondrites
Martian (shergottite),Differentiated meteorites,Achondrites,Martian
Iron,Unknown,Unknown,Unknown
CK5,Primitive meteorites,Chondrites,Carbonaceous Chondrite
L~6,Primitive meteorites,Chondrites,Ordinary Chondrite
L3.5,Primitive meteorites,Chondrites,Ordinary Chondrite
"Iron, IAB-MG",Differentiated meteorites,Iron meteorites,Non-magmatic or Primitive Iron Meteorite Groups
H,Primitive meteorites,Chondrites,Ordinary Chondrite
Eucrite-br,Differentiated meteorites,Achondrites,Asteroidal Achondrites
OC,Primitive meteorites,Chondrites,Ordinary Chondrite
H3.8,Primitive meteorites,Chondrites,Ordinary Chondrite
H3.7,Primitive meteorites,Chondrites,Ordinary Chondrite
CK4,Primitive meteorites,Chondrites,Carbonaceous Chondrite
EL6,Primitive meteorites,Chondrites,Enstatite Chondrite
"Iron, IVA",Differentiated meteorites,Iron meteorites,Magmatic Iron Meteorite Groups
Lunar (anorth),Differentiated meteorites,Achondrites,Lunar
H4-6,Primitive meteorites,Chondrites,Ordinary Chondrite
L3.8,Primitive meteorites,Chondrites,Ordinary Chondrite
Relict OC,Primitive meteorites,Chondrites,Ordinary Chondrite
Aubrite,Differentiated meteorites,Achondrites,Asteroidal Achondrites
H5-6,Primitive meteorites,Chondrites,Ordinary Chondrite
L4/5,Primitive meteorites,Chondrites,Ordinary Chondrite
Achondrite-ung,Unknown,Unknown,Unknown
"Iron, IAB complex",Differentiated meteorites,Iron meteorites,Non-magmatic or Primitive Iron Meteorite Groups
Acapulcoite,Differentiated meteorites,Achondrites,Primitive Achondrites
LL-melt breccia,Primitive meteorites,Chondrites,Ordinary Chondrite
L3.4,Primitive meteorites,Chondrites,Ordinary Chondrite
Stone-uncl,Unknown,Unknown,Unknown
L,Primitive meteorites,Chondrites,Ordinary Chondrite
L3.7,Primitive meteorites,Chondrites,Ordinary Chondrite
LL5/6,Primitive meteorites,Chondrites,Ordinary Chondrite
L3.6,Primitive meteorites,Chondrites,Ordinary Chondrite
H4-5,Primitive meteorites,Chondrites,Ordinary Chondrite
"Iron, IAB-ung",Differentiated meteorites,Iron meteorites,Non-magmatic or Primitive Iron Meteorite Groups
H3-6,Primitive meteorites,Chondrites,Ordinary Chondrite
H3.9,Primitive meteorites,Chondrites,Ordinary Chondrite
H3.6,Primitive meteorites,Chondrites,Ordinary Chondrite
R4,Primitive meteorites,Chondrites,Other Chondrite Groups (not in one of the major classes)
L5-6,Primitive meteorites,Chondrites,Ordinary Chondrite
Lunar,Differentiated meteorites,Achondrites,Lunar
Lodranite,Differentiated meteorites,Achondrites,Primitive Achondrites
LL5-6,Primitive meteorites,Chondrites,Ordinary Chondrite
H3-5,Primitive meteorites,Chondrites,Ordinary Chondrite
"Pallasite, PMG",Differentiated meteorites,Stony-iron meteorites,Pallasites
Pallasite,Differentiated meteorites,Stony-iron meteorites,Pallasites
H3/4,Primitive meteorites,Chondrites,Ordinary Chondrite
LL4-6,Primitive meteorites,Chondrites,Ordinary Chondrite
Brachinite,Differentiated meteorites,Achondrites,Asteroidal Achondrites
L4-6,Primitive meteorites,Chondrites,Ordinary Chondrite
L3-6,Primitive meteorites,Chondrites,Ordinary Chondrite
L~5,Primitive meteorites,Chondrites,Ordinary Chondrite
Eucrite-unbr,Differentiated meteorites,Achondrites,Asteroidal Achondrites
"Iron, IAB-sLL",Differentiated meteorites,Iron meteorites,Non-magmatic or Primitive Iron Meteorite Groups
LL3.8,Primitive meteorites,Chondrites,Ordinary Chondrite
Lunar (feldsp. breccia),Differentiated meteorites,Achondrites,Lunar
L3.9,Primitive meteorites,Chondrites,Ordinary Chondrite
LL3.7,Primitive meteorites,Chondrites,Ordinary Chondrite
