Country/Region,Region,Year,Population Total,GDP,CO2 Emissions,Energy Usage,Life Expectancy,Infant Mortality Rate
Algeria,Africa,01/12/2000,31719449,54790058957,87931,26998,69,0.034
Angola,Africa,01/12/2000,13924930,9129594819,9542,7499,45.5,0.128
Benin,Africa,01/12/2000,6949366,2359122303,1617,1983,55,0.09
Botswana,Africa,01/12/2000,1755375,5788311645,4276,1836,50.5,0.054
Burkina Faso,Africa,01/12/2000,11607944,2610959139,1041,,50.5,0.096
Burundi,Africa,01/12/2000,6674286,870486066,301,,48,0.092
Cameroon,Africa,01/12/2000,15927713,9287367569,3432,6310,52,0.093
Central African Republic,Africa,01/12/2000,3638316,914500332,268,,43.5,0.113
Chad,Africa,01/12/2000,8301151,1385058212,176,,47,0.106
Comoros,Africa,01/12/2000,528312,201899884,84,,57.5,0.073
Congo (Kinshasa),Africa,01/12/2000,46949244,19088046305,1646,16679,46.5,0.115
Congo (Brazzaville),Africa,01/12/2000,3126204,3219910666,1049,814,52,0.077
Cote d'Ivoire,Africa,01/12/2000,16131332,10417060605,6791,6734,46.5,0.1
Djibouti,Africa,01/12/2000,722887,551230862,403,,57,0.08
Egypt,Africa,01/12/2000,66136590,99838540997,141326,40658,68.5,0.036
Equatorial Guinea,Africa,01/12/2000,518179,1045998534,455,,47.5,0.099
Eritrea,Africa,01/12/2000,3939348,706370812,609,708,56,0.058
Ethiopia,Africa,01/12/2000,66024199,8091384891,5831,25242,52,0.09
Gabon,Africa,01/12/2000,1225527,5067865503,1052,1463,60,0.056
"Gambia, The",Africa,01/12/2000,1228863,782913866,275,,55,0.063
Ghana,Africa,01/12/2000,18825034,4982849054,6289,7736,57,0.065
Guinea,Africa,01/12/2000,8746128,2995360969,1280,,51,0.103
Guinea-Bissau,Africa,01/12/2000,1273312,361858968,147,,51.5,0.109
Kenya,Africa,01/12/2000,31285050,12705350153,10418,14055,53,0.069
Lesotho,Africa,01/12/2000,1856225,771200632,,,47.5,0.081
Liberia,Africa,01/12/2000,2891968,529064647,436,,52.5,0.119
Libya,Africa,01/12/2000,5176185,33896600871,47114,15901,72,0.024
Madagascar,Africa,01/12/2000,15744811,3877673635,1874,,58.5,0.071
Malawi,Africa,01/12/2000,11321496,1743506287,906,,46,0.103
Mali,Africa,01/12/2000,10260577,2422482318,543,,49,0.116
Mauritania,Africa,01/12/2000,2708095,1293653473,1236,,59.5,0.076
Mauritius,Africa,01/12/2000,1186873,4582562398,2769,,71.5,0.016
Morocco,Africa,01/12/2000,28710123,37020609825,33905,10238,68.5,0.043
Mozambique,Africa,01/12/2000,18275618,4310090791,1349,7173,47.5,0.114
Namibia,Africa,01/12/2000,1897953,3908645566,1643,978,55,0.049
Niger,Africa,01/12/2000,10989815,1798374533,796,,51,0.101
Nigeria,Africa,01/12/2000,122876727,46385996027,79182,90596,46.5,0.113
Rwanda,Africa,01/12/2000,8395577,1734938190,686,,48,0.108
Sao Tome and Principe,Africa,01/12/2000,139428,76709305,48,,63.5,0.058
Senegal,Africa,01/12/2000,9861679,4679604922,3938,2398,57.5,0.069
Seychelles,Africa,01/12/2000,81131,614877971,565,,,0.012
Sierra Leone,Africa,01/12/2000,4139757,635874002,425,,38,0.141
Somalia,Africa,01/12/2000,7385416,,517,,50.5,0.105
South Africa,Africa,01/12/2000,44000000,133000000000,368611,109264,56,0.052
South Sudan,Africa,01/12/2000,6652984,,,,49,0.11
Sudan,Africa,01/12/2000,27729798,12257299163,5534,13340,58,0.069
Swaziland,Africa,01/12/2000,1063715,1524490159,1188,,48.5,0.08
Tanzania,Africa,01/12/2000,34020512,10185786171,2651,13390,50,0.08
Togo,Africa,01/12/2000,4864753,1294250280,1357,2111,53.5,0.077
Tunisia,Africa,01/12/2000,9563500,21473188882,19923,7306,73,0.026
Uganda,Africa,01/12/2000,24275641,6193246632,1533,,48,0.089
Zambia,Africa,01/12/2000,10100981,3253551750,1819,6244,42,0.1
Zimbabwe,Africa,01/12/2000,12503652,6689957610,13887,9865,44,0.061
Afghanistan,Asia,01/12/2000,20595360,,781,,55,0.095
Armenia,Asia,01/12/2000,3076098,1911563665,3465,2015,71.5,0.027
Azerbaijan,Asia,01/12/2000,8048600,5272617196,29508,11296,67,0.061
Bangladesh,Asia,01/12/2000,132383265,47124925462,27869,18591,65.5,0.064
Bhutan,Asia,01/12/2000,564350,439158233,400,,60,0.059
Brunei,Asia,01/12/2000,331801,6001153318,6527,2385,76,0.008
Cambodia,Asia,01/12/2000,12222871,3654031716,1977,3412,62,0.082
China,Asia,01/12/2000,1262645000,1200000000000,3405180,1161353,72.5,0.03
Georgia,Asia,01/12/2000,4418300,3057453461,4536,2869,71.5,0.031
Hong Kong SAR,Asia,01/12/2000,6665000,172000000000,40465,13392,81,
India,Asia,01/12/2000,1042261758,477000000000,1186663,457198,62,0.067
Indonesia,Asia,01/12/2000,208938698,165000000000,263419,154768,67,0.041
Japan,Asia,01/12/2000,126870000,4730000000000,1219589,518964,81.5,0.003
Kazakhstan,Asia,01/12/2000,14883626,18291990619,127769,35679,65.5,0.038
North Korea,Asia,01/12/2000,22840225,,76699,19717,65,0.045
South Korea,Asia,01/12/2000,47008111,562000000000,447561,188161,76,0.005
Kyrgyzstan,Asia,01/12/2000,4898400,1369691955,4529,2317,68.5,0.042
Laos,Asia,01/12/2000,5388281,1731198022,972,,61.5,0.083
Macao SAR,Asia,01/12/2000,431907,6101794939,1635,,77.5,
Malaysia,Asia,01/12/2000,23420751,93789473684,126603,47110,73,0.009
Maldives,Asia,01/12/2000,272745,624337144,499,,69.5,0.035
Mongolia,Asia,01/12/2000,2397473,1136896162,7506,2397,63,0.049
Myanmar,Asia,01/12/2000,48453000,,10088,12841,62,0.059
Nepal,Asia,01/12/2000,23184177,5494252208,3234,8108,62,0.06
