track_year,track_id,track_pos,artist_name,track_name,track_writers,track_votes
1951,,1,Nilla Pizzi,Grazie dei Fiori,"G. C. Testoni, M. Panzeri,S. Seracini",50
1951,1.0,2,"Nilla Pizzi,Achille Togliani",La luna si veste d'argento,"V. Mascheroni,Biri",30
1951,2.0,3,Achille Togliani,Serenata a nessuno,W. Colì,20
1951,3.0,F,"Achille Togliani,Duo Fasano",Al mercato di Pizzighettone,"N. Ravasini,A. Locatelli",
1951,4.0,F,"Nilla Pizzi,Achille Togliani",Eco tra gli abeti,"E. Bonagura,C. A. Rossi",
1951,5.0,F,"Achille Togliani,Duo Fasano",Famme durmì,"V. Panzuti,Danpa",
1951,6.0,F,Duo Fasano,La cicogna distratta,"Da Rovere, A. Valleroni,Carrel",
1951,7.0,F,"Nilla Pizzi,Duo Fasano",La margherita,E. B. Valdes,
1951,8.0,F,Achille Togliani,Sedici anni,"L. Gambetti, M. Mariotti,A. Mari",
1951,9.0,F,Duo Fasano,Sotto il mandorlo,"G. C. Testoni, M. Panzeri,C. Donida",
1951,10.0,NF,Nilla Pizzi,È l'alba,"G. C. Testoni,A. Trovajoli",
1951,11.0,NF,Nilla Pizzi,Ho pianto una volta sola,"D. Olivieri,Pinchi",
1951,12.0,NF,Achille Togliani,Mai più,"R. Fuselli,F. Rolando",
1951,13.0,NF,Achille Togliani,Mani che si cercano,"G. Redi,G. Colombi",
1951,14.0,NF,Nilla Pizzi,Mia cara Napoli,"M. Ruccione,S. Mazzocco",
1951,15.0,NF,Nilla Pizzi,Notte di Sanremo,E. L. Poletto,
1951,16.0,NF,Duo Fasano,Oro di Napoli,"A. Brigada,U. Bertini",
1951,17.0,NF,"Achille Togliani,Duo Fasano",Sei fatta per me,"G. Fassino,G. Quattrini",
1951,18.0,NF,Duo Fasano,Sorrentinella,"S. Seracini,A. G. Camosso",
1951,19.0,NF,Nilla Pizzi,Tutto è finito,"D. Errico, O. Odorici,S. Odorici",
1952,,1,Nilla Pizzi,Vola Colomba,"B. Cherubini,C. Concina",80
1952,1.0,2,Nilla Pizzi,Papaveri e papere,"N. Rastelli, M. Panzeri,V. Mascheroni",70
1952,2.0,3,Nilla Pizzi,Una donna prega,"Pinchi,V. Panzuti",50
1952,3.0,4,Oscar Carboni,Madonna delle rose,"G. Fiorelli,M. Ruccione",28
1952,4.0,5,Gino Latilla,Un disco dall'Italia,"N. Salerno,G. D'Anzi",20
1952,5.0,6,Gino Latilla,L'attesa,"Biri,N. Ravasini",19
1952,6.0,7,Oscar Carboni,Perché le donne belle,"A. Sopranzi,G. Fassino",11
1952,7.0,8,Achille Togliani,Vecchie mura,"Filibello,P. E. Bassi",7
1952,8.0,9,Achille Togliani,Libro di novelle,"L. Citi,M. Casini",4
1952,9.0,10,"Nilla Pizzi,Achille Togliani",Nel regno dei sogni,"A. Papetti,C. A. Rossi",1
1952,10.0,NF,Duo Fasano,Al ritmo della carrozzella,"E. L. Poletto,P. Pavesio",
1952,11.0,NF,"Nilla Pizzi,Duo Fasano",Buonanotte (Ai bimbi del mondo),"E. Minoretti,A. Zara",
1952,12.0,NF,Oscar Carboni,Cantate e sorridete,"G. C. Testoni, F. Fabor,C. Donida",
1952,13.0,NF,Duo Fasano,Due gattini,"T. Giacobetti, G. Kramer,Trinacria",
1952,14.0,NF,"Nilla Pizzi,Duo Fasano",Il valzer di Nonna Speranza,"G. C. Testoni,S. Seracini",
1952,15.0,NF,Achille Togliani,La collanina,"G. C. Testoni,D. Olivieri",
1952,16.0,NF,Gino Latilla,Malinconica tarantella,"G. C. Testoni,E. Ceragioli",
1952,17.0,NF,Nilla Pizzi,Ninna nanna ai sogni perduti,"P. E. Bassi, M. Panzeri,G. C. Testoni",
1952,18.0,NF,Gino Latilla,Pura fantasia,"Aminta,A. Fragna",
1952,19.0,NF,Duo Fasano,Vecchio tram,G. L. Callegari,
1953,,1,"Carla Boni,Flo Sandon's",Viale d'autunno,G. D'Anzi,64
1953,1.0,2,"Nilla Pizzi,Doppio Quintetto Vocale,Teddy Reno,Quartetto Stars",Campanaro,"B. Cherubini,C. Concina",56
1953,2.0,3 (ex aequo),"Achille Togliani,Teddy Reno",Lasciami cantare una canzone,"M. Cozzoli,C. A. Bixio",41
1953,3.0,3 (ex aequo),"Gino Latilla,Doppio Quintetto Vocale,Giorgio Consolini",Vecchio scarpone,"Calibi, Pinchi,C. Donida",41
1953,4.0,5,"Gino Latilla,Giorgio Consolini",Vecchia villa comunale,"R. Ruocco,N. Oliviero",40
1953,5.0,6,"Achille Togliani,Katyna Ranieri",No Pierrot,"A. Costanzo,R. Salani",39
1953,6.0,7,"Carla Boni,Quartetto Stars",Il passerotto,"E. Di Lazzaro,D. Valentini",33
1953,7.0,8,"Nilla Pizzi,Doppio Quintetto Vocale,Teddy Reno,Quartetto Stars",Sussurrando buonanotte,"Danpa, B. Pallesi,V. Panzuti",22
1953,8.0,9,"Gino Latilla,Doppio Quintetto Vocale,Giorgio Consolini",Tamburino del reggimento,Deani,15
